psi	rP1	rP2
5.940000	2285.718543	6109.175383
5.976000	2286.151384	6106.976890
6.012000	2286.584833	6104.780142
6.048000	2287.018889	6102.585138
6.084000	2287.453552	6100.391877
6.120000	2287.888822	6098.200359
6.156000	2288.324700	6096.010581
6.192000	2288.761186	6093.822545
6.228000	2289.198279	6091.636248
6.264000	2289.635980	6089.451689
6.300000	2290.074290	6087.268868
6.336000	2290.513207	6085.087784
6.372000	2290.952733	6082.908436
6.408000	2291.392868	6080.730823
6.444000	2291.833611	6078.554944
6.480000	2292.274963	6076.380797
6.516000	2292.716924	6074.208384
6.552000	2293.159493	6072.037701
6.588000	2293.602673	6069.868749
6.624000	2294.046461	6067.701527
6.660000	2294.490859	6065.536033
6.696000	2294.935866	6063.372267
6.732000	2295.381484	6061.210227
6.768000	2295.827711	6059.049914
6.804000	2296.274548	6056.891326
6.840000	2296.721995	6054.734461
6.876000	2297.170053	6052.579320
6.912000	2297.618721	6050.425902
6.948000	2298.068000	6048.274205
6.984000	2298.517890	6046.124228
7.020000	2298.968390	6043.975971
7.056000	2299.419502	6041.829433
7.092000	2299.871224	6039.684613
7.128000	2300.323558	6037.541509
7.164000	2300.776504	6035.400122
7.200000	2301.230061	6033.260450
7.236000	2301.684230	6031.122493
7.272000	2302.139011	6028.986249
7.308000	2302.594403	6026.851717
7.344000	2303.050408	6024.718898
7.380000	2303.507026	6022.587789
7.416000	2303.964256	6020.458390
7.452000	2304.422098	6018.330700
7.488000	2304.880553	6016.204718
7.524000	2305.339621	6014.080444
7.560000	2305.799303	6011.957876
7.596000	2306.259597	6009.837014
7.632000	2306.720505	6007.717857
7.668000	2307.182026	6005.600403
7.704000	2307.644161	6003.484653
7.740000	2308.106910	6001.370604
7.776000	2308.570272	5999.258257
7.812000	2309.034249	5997.147610
7.848000	2309.498840	5995.038663
7.884000	2309.964045	5992.931415
7.920000	2310.429865	5990.825864
7.956000	2310.896300	5988.722010
7.992000	2311.363349	5986.619853
8.028000	2311.831013	5984.519390
8.064000	2312.299293	5982.420622
8.100000	2312.768187	5980.323548
8.136000	2313.237698	5978.228166
8.172000	2313.707823	5976.134476
8.208000	2314.178565	5974.042477
8.244000	2314.649922	5971.952169
8.280000	2315.121895	5969.863549
8.316000	2315.594485	5967.776618
8.352000	2316.067691	5965.691375
8.388000	2316.541513	5963.607818
8.424000	2317.015952	5961.525947
8.460000	2317.491007	5959.445762
8.496000	2317.966680	5957.367260
8.532000	2318.442970	5955.290442
8.568000	2318.919876	5953.215307
8.604000	2319.397401	5951.141853
8.640000	2319.875542	5949.070080
8.676000	2320.354302	5946.999987
8.712000	2320.833679	5944.931574
8.748000	2321.313674	5942.864838
8.784000	2321.794288	5940.799781
8.820000	2322.275519	5938.736400
8.856000	2322.757369	5936.674695
8.892000	2323.239838	5934.614665
8.928000	2323.722926	5932.556309
8.964000	2324.206632	5930.499626
9.000000	2324.690957	5928.444617
9.036000	2325.175902	5926.391279
9.072000	2325.661466	5924.339611
9.108000	2326.147649	5922.289614
9.144000	2326.634452	5920.241287
9.180000	2327.121875	5918.194628
9.216000	2327.609918	5916.149636
9.252000	2328.098581	5914.106311
9.288000	2328.587865	5912.064653
9.324000	2329.077769	5910.024659
9.360000	2329.568293	5907.986330
9.396000	2330.059438	5905.949664
9.432000	2330.551204	5903.914662
9.468000	2331.043591	5901.881321
9.504000	2331.536600	5899.849641
9.540000	2332.030229	5897.819622
9.576000	2332.524481	5895.791262
9.612000	2333.019354	5893.764561
9.648000	2333.514848	5891.739518
9.684000	2334.010965	5889.716133
9.720000	2334.507704	5887.694403
9.756000	2335.005066	5885.674329
9.792000	2335.503049	5883.655910
9.828000	2336.001656	5881.639144
9.864000	2336.500885	5879.624032
9.900000	2337.000737	5877.610572
9.936000	2337.501213	5875.598764
9.972000	2338.002311	5873.588606
10.008000	2338.504033	5871.580098
10.044000	2339.006379	5869.573240
10.080000	2339.509348	5867.568030
10.116000	2340.012942	5865.564467
10.152000	2340.517159	5863.562551
10.188000	2341.022001	5861.562282
10.224000	2341.527467	5859.563657
10.260000	2342.033557	5857.566677
10.296000	2342.540273	5855.571340
10.332000	2343.047613	5853.577647
10.368000	2343.555578	5851.585595
10.404000	2344.064169	5849.595185
10.440000	2344.573384	5847.606415
10.476000	2345.083226	5845.619286
10.512000	2345.593693	5843.633795
10.548000	2346.104786	5841.649942
10.584000	2346.616504	5839.667726
10.620000	2347.128850	5837.687148
10.656000	2347.641821	5835.708205
10.692000	2348.155419	5833.730897
10.728000	2348.669643	5831.755224
10.764000	2349.184495	5829.781184
10.800000	2349.699973	5827.808777
10.836000	2350.216079	5825.838002
10.872000	2350.732812	5823.868858
10.908000	2351.250172	5821.901345
10.944000	2351.768160	5819.935461
10.980000	2352.286776	5817.971207
11.016000	2352.806020	5816.008580
11.052000	2353.325892	5814.047581
11.088000	2353.846392	5812.088209
11.124000	2354.367521	5810.130462
11.160000	2354.889278	5808.174341
11.196000	2355.411664	5806.219844
11.232000	2355.934679	5804.266971
11.268000	2356.458324	5802.315721
11.304000	2356.982597	5800.366093
11.340000	2357.507501	5798.418086
11.376000	2358.033033	5796.471700
11.412000	2358.559196	5794.526934
11.448000	2359.085988	5792.583787
11.484000	2359.613411	5790.642258
11.520000	2360.141464	5788.702347
11.556000	2360.670148	5786.764053
11.592000	2361.199462	5784.827375
11.628000	2361.729407	5782.892312
11.664000	2362.259983	5780.958864
11.700000	2362.791190	5779.027030
11.736000	2363.323028	5777.096809
11.772000	2363.855498	5775.168201
11.808000	2364.388600	5773.241204
11.844000	2364.922333	5771.315819
11.880000	2365.456699	5769.392043
11.916000	2365.991696	5767.469877
11.952000	2366.527326	5765.549320
11.988000	2367.063589	5763.630371
12.024000	2367.600484	5761.713029
12.060000	2368.138012	5759.797294
12.096000	2368.676173	5757.883164
12.132000	2369.214967	5755.970640
12.168000	2369.754395	5754.059720
12.204000	2370.294456	5752.150403
12.240000	2370.835151	5750.242690
12.276000	2371.376480	5748.336578
12.312000	2371.918442	5746.432069
12.348000	2372.461039	5744.529159
12.384000	2373.004271	5742.627850
12.420000	2373.548137	5740.728141
12.456000	2374.092638	5738.830030
12.492000	2374.637774	5736.933516
12.528000	2375.183544	5735.038600
12.564000	2375.729951	5733.145281
12.600000	2376.276992	5731.253557
12.636000	2376.824669	5729.363428
12.672000	2377.372982	5727.474893
12.708000	2377.921931	5725.587952
12.744000	2378.471516	5723.702604
12.780000	2379.021738	5721.818848
12.816000	2379.572596	5719.936683
